UniqueID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Stub
B08303_004,130.69722459380506,88.28714106262171,89.1298396647265,84.69788158158158,111.28472421922892,93.13241547447147,83.1898385259956,120.44638465132786,118.79204288436955,90.56804214580508,10 to 14 minutes
B08303_005,94.06788959400387,92.29081397570286,93.86570827819925,96.49042744605791,109.06374195314183,96.91239859026433,89.04808029128044,114.75021765646649,117.68592948663034,96.90492364767468,15 to 19 minutes
B08303_006,74.59948878770942,88.04158621519402,101.70583305054257,106.15798250725447,102.42504318064276,95.79471679964863,92.7745702908332,110.57778693927833,113.14968928002709,110.03155676419172,20 to 24 minutes
B08303_007,69.74888847569919,68.14891907676667,111.96836917937118,117.84964907924356,89.18640157213689,84.6093873729654,98.6045821643985,105.96284607613605,112.0791969140438,115.05392718043406,25 to 29 minutes
B08303_008,61.929762639956124,85.27667522013901,101.87171297349234,113.72843805018024,106.41896401735589,104.81763654786616,91.93722946787975,99.28601073341973,100.86371497024041,138.59951239721696,30 to 34 minutes
B08303_009,65.66299452173944,58.11986535470164,122.25163314306235,129.30390418576388,82.13688231212699,69.72339554755982,105.335285391433,92.72476241237129,100.86267540286309,143.11762747236403,35 to 39 minutes
B08303_010,57.96963398309553,58.009865938472494,120.36433145252485,125.30636357248439,96.21016488741006,84.18316906806041,92.44318318016211,92.82563148628458,96.37401304967557,172.91089304496825,40 to 44 minutes
B08303_011,58.968021324763,65.60916667672332,118.81079305869953,127.33457762205882,92.18492300490809,80.07394779865716,100.7145258340405,89.63429862926783,91.61332571374882,167.2278414411829,45 to 59 minutes
B08303_012,50.755954012198025,77.1457293254241,127.62449924924528,117.73774236632197,110.37333376406528,90.18764890299705,87.73970329124671,90.73619724482815,84.85852406258678,193.76247643130904,60 to 89 minutes
B08303_013,61.45532917759735,88.53190528114283,124.97144766028741,115.20417026245029,99.60956708380867,93.09217877161628,99.39483173668584,93.28361551993015,85.594510091703,151.1217384560161,90 or more minutes
B09019_005,141.51438820596485,125.07439403760043,43.32738551795508,53.197133775942184,183.4280048061129,63.64331999704548,101.83267296712151,83.61705083174631,118.21064430934562,155.0011064348735,Living alone
B09019_008,146.02458645195645,128.4590079755956,53.87716259052044,56.154812989071445,157.2527181287876,54.90483059990744,86.69821273968095,92.01381007441822,140.8762466158578,148.25723835486005,Living alone
B09019_011,88.61417269719368,60.873708562006335,118.12860769035456,85.39852194629945,91.29786792537814,60.78016499648823,81.82046156374558,120.46917182910985,113.02492901618197,235.6187303087591,Same-sex spouse
B09019_015,87.71872484031513,118.1971550723923,112.1089472196932,113.36042329048877,86.84918981397007,128.33463238822446,90.89274431163236,98.76485719315693,90.02653620618858,76.48023372762968,Biological child
B09019_016,95.44916769879012,86.01140584954308,133.14939853189648,128.13066646780982,48.94277320825351,79.62022063588668,118.52758979659343,103.49210451075473,90.23278370001843,64.82826554874308,Adopted child
B09019_017,113.37424192991847,92.70114175805068,71.43161216305732,129.07481217002905,62.658673152087104,113.94116451131946,125.6157506723382,102.3566178861058,84.89852720109828,40.669344746137284,Stepchild
B09019_018,96.59837718673869,219.82291770412905,47.697768992940205,89.54451214032446,76.62080542284254,177.65040012759056,120.69018969051595,106.50707899666092,61.39583693652331,55.08381580824272,Grandchild
B09019_026,163.8477400189782,113.9889187100954,46.28513699743791,32.69803812499432,246.78027644013403,65.25415839166988,63.87757606405427,80.4595473648288,71.91251186582076,124.22632359488952,In group quarters
B11001_003,88.31370400970785,46.85740904943228,140.11457052391484,119.50178549646331,53.75717722834407,71.55495526507721,119.56715706618772,106.56283493560623,103.9535143847338,87.22928490875191,Married-couple family
B12001_003,103.22848637040924,129.5276418181579,69.57491245743486,79.15289785594186,154.2949130035431,114.62636995088873,79.443059614622,97.3846196477173,94.8821242798154,136.4645180269004,Never married
B12001_007,114.21742909849833,190.5751333902617,33.85329203152407,64.28118106426744,161.69003476652694,142.17327007623965,105.9409343777023,79.28805339537749,83.25537373859831,95.34256600989757,Separated
B12001_009,136.28191409015875,114.65786616176624,76.21546254522748,71.20359329164101,81.49267207326093,80.91607037404243,139.1716089226338,111.53994147239618,104.57974549676896,70.37421193753116,Widowed
B12001_010,140.69745950437,110.22407843225947,54.7654243096399,79.30931429157229,106.37591091794351,85.60961456069693,128.00977331976645,99.80770676815149,102.01903788126731,82.54953379787537,Divorced
B12001_012,97.77373193827357,162.23752191947477,69.41966855292398,78.32856902692644,165.25056731844583,113.24034117754913,68.45166900199642,93.6102974900957,98.21246367974639,145.8559682453702,Never married
B12001_016,113.61982955737999,201.73650521064116,35.32049435758011,66.56842801679396,170.22110871524973,165.08349210698944,86.94684141743629,74.99786823033004,85.98591651490653,94.38072795126314,Separated
B12001_018,142.01135952250706,119.51328546097606,75.18250680378515,72.38037353451527,89.57457340133412,77.38509019638592,117.95444626973912,112.39147444731063,118.73196604798312,77.56535436934112,Widowed
B12001_019,138.3573862719158,117.3504260896552,61.827172641556196,85.07182112658494,111.41205804724747,85.635598606434,97.25817898058983,103.57263548672746,121.16174788946805,89.35845689515749,Divorced
B15003_002,79.67625785372599,121.56224583936424,36.88216863630096,69.66733378275482,166.38884354184472,250.83148391003527,72.89233922957312,95.81004037179241,68.3267436527058,115.08282241810332,No schooling completed
B15003_003,91.87546278486467,109.52369841265674,66.02742591283443,96.9268061797143,134.16178754452096,156.81368946447816,71.80322421381642,98.79331798432098,97.79623585898115,112.28913186926914,Nursery school
B15003_004,85.45127020938104,106.3654810553613,57.58314052866339,66.2577683232547,152.0312643766539,212.08586078147565,79.87413219235452,104.65147209251087,80.10971489729104,120.08560424273213,Kindergarten
B15003_005,54.124506450837174,113.35979444029061,15.088150605746748,41.545205996794564,215.28091402703464,407.78126810409265,57.08938223179043,67.222902056273,43.872736484979974,90.4032168043284,1st grade
B15003_006,55.67009044001712,82.0593904212172,15.855488709257646,44.294783199016145,210.91993637185277,444.1195082362084,48.44135210870131,62.68947902739441,40.71845532773569,88.80234154258538,2nd grade
