UniqueID,V1,V2,V3,V4,V5,V6,V7,Stub,CONCEPT,DOMAIN
B01001_040,107.09913446172837,104.60785972073421,88.14281492686631,89.62110130385518,99.28990363666759,77.16288554991617,78.69813372696728,50 to 54 years,POP,Family
B01001_041,102.99064482854754,107.72204334274875,78.01400797557301,83.60309626208763,105.77166957415332,69.55986134166513,82.2925389916791,55 to 59 years,POP,Family
B01001_042,105.82095446213202,104.91081775578463,71.06313216662149,78.27493998647583,109.1699501319246,65.76931120014942,87.96389836253866,60 and 61 years,POP,Family
B01001_043,99.22434985535683,105.88976188023108,68.1562732427,74.67731654715153,110.6275571257189,59.598863616326916,92.50258499892675,62 to 64 years,POP,Family
B01001_044,97.57675242559581,105.58693918874403,64.05910906823026,72.29881249496674,108.87621801451675,55.934406173985515,103.00035171509504,65 and 66 years,POP,Family
B01001_045,90.9298290116764,107.67133730752934,58.7555433331297,67.17254471436098,109.01282749110477,56.40316424162919,108.06494822938366,67 to 69 years,POP,Family
B01001_046,90.01994831116427,101.09584712228738,57.19767666500574,65.26119156038266,111.67295088432523,51.18966346173352,125.72818873832969,70 to 74 years,POP,Family
B01001_047,90.8337052699155,96.3382510192592,50.99147891035851,65.41397400443472,120.13396286487006,46.52116976401387,153.8976477936269,75 to 79 years,POP,Family
B01001_048,97.1420165719849,91.25468892996813,42.60984790860739,67.83811422507459,130.00272831322204,46.96698084187524,202.823104577671,80 to 84 years,POP,Family
B01001_049,102.3802079167171,77.14110796844997,33.489718235185826,57.16973285950032,128.24881828279385,50.95475022606297,303.9560123016062,85 years and over,POP,Family
B02001_002,74.34975829290066,97.393346512785,84.62147390743465,82.77995299992479,116.5853213996679,81.00555831749892,90.07654910684622,White alone,POP,Race / Ancestory / Citizenship
B02001_003,131.11456000871192,114.97389996775036,146.61094906679628,65.07787812347044,69.52927358973113,135.89223715192475,104.04821594206312,Black or African American alone,POP,Race / Ancestory / Citizenship
B02001_004,63.848967745890505,80.0560383658546,88.3177633163655,113.51112061394663,60.84279104794346,67.1862627099712,68.02239428087479,American Indian and Alaska Native alone,POP,Race / Ancestory / Citizenship
B03003_003,171.22922853682252,102.22094583869077,184.00811226402845,358.2481509981024,57.26928994700115,104.19800339242894,84.66118967101697,Hispanic or Latino,POP,Race / Ancestory / Citizenship
B08007_003,103.79111092210857,105.6377988799202,103.7110964263806,106.36960414579862,111.66699323712221,138.98508171586636,126.94863303339304,Worked in county of residence,ECONOMY,Mobility
B08008_003,84.02610702100856,96.8045420954466,91.90428128695585,105.57474554078874,128.0683610103325,175.57049169098852,207.38014382158258,Worked in place of residence,ECONOMY,Mobility
B08301_010,145.53253231113757,24.89588888774441,18.301603175080423,34.21524568008117,15.236902238536612,92.27224054822616,317.7839725966356,Public transportation (excluding taxicab):,ECONOMY,Transport
B08302_002,129.08294126397695,120.82709092851798,142.42596310058892,159.04244584093377,100.11606946096757,89.52621241519208,58.82992144520499,12:00 a.m. to 4:59 a.m.,ECONOMY,Start Work Time
B08302_003,132.3288823305171,113.92051555674281,133.45079134453513,152.51452044277272,89.07282956439082,87.45938379924411,58.170202463997455,5:00 a.m. to 5:29 a.m.,ECONOMY,Start Work Time
B08302_004,116.24028649357865,116.13189227000358,122.64427958954394,119.84984260308238,112.60694918122587,94.51316958792889,65.07211908058622,5:30 a.m. to 5:59 a.m.,ECONOMY,Start Work Time
