GEOID,cluster
010970034083,7
010730015002,2
010730015004,2
010810407002,5
010810407001,5
010810404004,5
010810404001,3
010810408001,5
010810410003,7
010810410002,7
010030114032,9
010030106001,2
010030106003,1
010770107001,2
010770107003,2
010770108002,1
010770108001,2
010770104002,1
010510302003,7
010510302002,7
010510306003,7
010510306001,7
010510301001,7
010510301003,7
010510301002,7
010890018013,8
010890018011,3
010890109022,7
010890109021,1
010890029112,8
010890029111,8
010890029113,3
010890007013,2
010890007012,8
010890007011,5
010010202002,1
010010202001,2
010010210002,7
010010210001,7
010550107002,7
010279590001,1
010279590003,7
010279591002,7
010279591001,7
010279591003,7
010310113001,6
010550013003,2
010690419006,7
010690419001,7
010690419005,7
010690416001,1
010690416004,7
010690416003,7
010210604022,7
010210604023,7
010210604012,7
010210604013,7
010210602002,7
010210605003,7
010210605002,7
010210601012,6
010210601023,2
010210601022,6
010210601024,8
010210601025,7
010210606001,7
010210607004,7
010210607002,7
010210607003,7
010730100011,2
010730103021,2
010730103023,2
010310113002,1
010310113003,6
010730129051,3
010730129052,3
010730129064,5
010730030011,2
010730030014,2
010730030012,2
010730019021,2
010730019022,2
010730022001,2
010730022002,2
010730029003,2
010730031003,2
010730031005,2
010730031004,2
010730047023,5
010730047022,3
010730048001,9
010419636003,7
010419636002,1
010419634002,7
010419635001,7
010419639001,7
010439645001,7
010439645002,7
010439648004,1
010439648003,1
010439642004,7
010439642001,7
010439642006,7
010439642005,7
010439649002,1
010439649005,8
010439649001,4
010690414003,2
010690421002,7
010690421003,7
010690421004,7
010690421001,7
010310106001,7
010310106002,7
010310110002,8
010310110001,6
010310101001,7
010310101002,7
010730059071,8
010730120023,4
010730120022,9
010730124022,2
010730124023,2
010730125001,7
010730125003,7
010730125002,2
010730130021,2
010730132002,2
010730132001,2
010030113001,3
010030113003,4
011250106021,7
011250107021,7
011250107023,7
011250103031,7
011250104033,1
010730030023,2
010730030021,2
010730033002,2
010730033001,2
010730042002,2
010730042001,2
010730042003,2
010730059033,2
010730059083,2
010730059082,2
010730102003,2
010730102001,2
010730102002,2
010730107031,3
011130307001,2
011130303003,2
011130303001,2
011130309021,4
011250104032,2
011250104043,9
011250104041,2
011250120001,5
011250123042,2
011250123041,5
011250128002,2
011250112001,5
010730107052,9
010730111042,7
010730112062,4
010730116001,1
011130309023,7
011130311001,7
010730015003,2
010730034001,2
010730034002,2
010730034004,2
010730050002,1
010730055001,2
010730057021,2
010730057024,2
010199560002,1
010199560001,7
010199558001,7
010199558003,7
010399624001,7
010399624002,7
010399624004,8
010799799001,7
010799797001,7
010799798002,7
010399626002,1
010399630004,1
010970048001,2
010970048002,2
010970050002,2
010970050001,2
010970059002,7
010970059001,7
010970061051,9
010970061052,7
011010029005,2
011010029003,2
010730040003,2
010730040001,2
010730051012,2
010730051011,2
010690420001,7
010690420004,7
010510308003,9
010510308004,7
010510313001,9
010510313002,4
010510313003,8
010510304001,6
010690401002,7
010690401001,4
010690407002,2
010690410002,2
010690410001,2
010690411002,1
010690418001,7
010690418002,7
011010029002,2
011010029004,2
011010033013,3
011010033014,8
011010051022,2
011010051023,2
011010014002,8
011010014001,10
011010005001,1
011010005003,2
011010016001,2
011010016004,2
010890006022,6
010890028022,4
010890110132,4
010890110131,9
010890020002,8
010890020001,8
010510304002,7
010510304003,1
010510304004,1
010510304006,2
010510304005,4
010510305002,7
010510305003,7
010510305001,7
010510303002,7
011030001003,2
011030001001,2
011030001005,6
011030006001,6
011030007001,6
011030007002,2
011030056003,7
011030056001,7
010730052004,2
010730101003,2
010730101002,2
010439655003,7
010439655001,7
010439650002,8
010439650001,1
010439650005,6
010439650006,7
010439657002,7
010439656001,7
010439644002,7
010439646002,7
010439653002,7
010439653001,7
010439641004,7
010439641003,7
010439641005,7
010439641002,7
010730121043,2
010730124031,2
010239567002,7
010239567004,7
010239567003,2
010599736001,7
010599736002,7
010599731001,7
010599731002,7
010599734003,1
010599734001,7
010599734002,1
010599729002,7
010599733002,7
010599733001,7
010599735001,7
010599735002,1
010599730002,6
010599730004,8
010599732001,4
010599732003,7
011170308001,7
011170306051,4
011170306052,4
011170303162,4
011170303301,3
011250101011,3
011250102042,5
011250102041,9
011250103013,7
011250103012,7
011250103021,7
011250103022,7
011250107012,7
011250107011,4
011250108021,7
011250124053,2
011250125031,7
010730124032,7
010730016002,2
010730016004,2
010439647001,7
010439647003,7
010439647002,7
010690405001,1
010690405003,9
010690405002,9
010690415002,2
010690415003,2
010690415005,2
010690415001,7
010690415004,2
010439655002,7
010310107001,7
010310111001,1
010310112021,9
010310102002,7
010310102001,7
010310105004,7
010310105003,7
010310105001,7
010310108001,7
010719503004,7
010719503001,7
010719503003,7
010719503005,7
010719506001,7
010719506002,1
010719501004,7
010719501005,7
011070503004,7
011070500002,7
010730134002,2
010730134001,2
011130311002,7
011130309011,2
011130309013,7
011130309014,2
010730139022,8
010210603001,7
010210603002,7
010210604024,7
010730007002,2
010730007003,2
