UniqueID,V1,V2,V3,V4,V5,V6,V7,Stub,CONCEPT,DOMAIN
B01001_041,96.14795102256817,65.9589964699819,113.43842414599756,110.73634044913744,103.72443680096855,96.22059283946606,81.50102059755669,55 to 59 years,POP,Family
B01001_042,93.94815670832456,64.69930371125685,118.35395681339153,105.88902696537158,105.80209335101469,98.9297646469888,78.93265060662138,60 and 61 years,POP,Family
B01001_043,92.17561718845492,63.02393258429403,120.86304711886406,104.48932752747528,108.53398004373558,98.42581172521857,76.62760853428554,62 to 64 years,POP,Family
B01001_044,90.24877093276359,64.1267389598172,122.31505150213853,103.39295076327704,111.53679474522119,95.25375868138183,76.44389960773782,65 and 66 years,POP,Family
B01001_045,87.79450726911178,63.26638883893463,124.38536934732633,103.46568844623663,115.13254683353516,93.95750012470333,72.5367392093833,67 to 69 years,POP,Family
B01001_046,85.52473318049965,66.96794942574708,126.81388719518385,101.03424643190453,116.95573311741944,93.32344781738121,71.37003791503425,70 to 74 years,POP,Family
B01001_047,84.36599119631117,68.28663397832027,130.45971600342747,89.68554705280252,121.93575375922647,97.04374459305939,73.19455015604197,75 to 79 years,POP,Family
B01001_048,84.14578083652293,76.14908392088469,122.82762727739762,80.03578746723261,128.73593770523476,106.16879824783581,78.3941283396867,80 to 84 years,POP,Family
B01001_049,76.83768516880265,98.28835661281306,103.02005522972111,69.85693309979524,154.88579850513193,109.69193322132702,83.0318995971599,85 years and over,POP,Family
B02001_002,91.62709058142013,88.0964602913414,124.64134259305561,112.02548011205486,108.05236506192739,79.30209643742738,66.56545836560174,White alone,POP,Race / Ancestory / Citizenship
B02001_003,108.38301309311184,102.66822197096468,41.65769548669149,49.034698461446496,60.44824073291336,242.66465054211434,181.1652189890947,Black or African American alone,POP,Race / Ancestory / Citizenship
B02001_004,81.75371629619123,58.66773827419861,154.16755605137425,36.01736671698091,55.47030096432077,203.5053469554328,119.91473608226795,American Indian and Alaska Native alone,POP,Race / Ancestory / Citizenship
B03003_003,167.03328562949434,86.14092652499806,42.96064360225936,52.50866414884444,65.65820171190857,97.91893599699564,238.48765448524122,Hispanic or Latino,POP,Race / Ancestory / Citizenship
B08007_003,106.04609546471127,133.4811766590393,80.95011266812598,97.19924264642995,110.20308605600545,93.72676912571188,102.84752322062536,Worked in county of residence,ECONOMY,Mobility
B08008_003,100.34894643881942,231.6380363682974,22.94845757876352,73.78793949934584,122.17952356696293,131.46409854598497,138.0789144846771,Worked in place of residence,ECONOMY,Mobility
B08301_010,42.8352978934015,444.6833597667031,7.157653605153411,56.11452686832813,103.46121311687642,67.77791615038913,240.37037976467005,Public transportation (excluding taxicab):,ECONOMY,Transport
B08302_002,129.88295307164253,56.91767748003471,126.3414929732173,71.04728397973139,75.33716113695665,106.23621058498745,116.81486390283784,12:00 a.m. to 4:59 a.m.,ECONOMY,Start Work Time
B08302_003,123.54326096172599,57.65487974087063,124.24593722667916,80.28492869987922,77.90390628137703,96.14386768557381,118.7307369232985,5:00 a.m. to 5:29 a.m.,ECONOMY,Start Work Time
B08302_004,117.60097838431543,63.51125518390342,122.91067202788342,88.7748356126075,87.89096382494932,97.9549830163232,96.69144586220844,5:30 a.m. to 5:59 a.m.,ECONOMY,Start Work Time
B08302_005,114.62675077832729,74.26254996271894,112.66327559017289,97.3591493503157,90.76620606318025,86.36331886969727,104.65240461450034,6:00 a.m. to 6:29 a.m.,ECONOMY,Start Work Time
B08302_006,104.60288479863218,84.66854202248335,108.99123039489437,109.38740650348078,104.27778978975937,86.25647598941275,80.35732096644955,6:30 a.m. to 6:59 a.m.,ECONOMY,Start Work Time
B08302_007,101.69095945027446,99.70792182833107,100.72407562926944,111.81699128274565,106.45819801328662,77.3683928724514,90.94527971795972,7:00 a.m. to 7:29 a.m.,ECONOMY,Start Work Time
B08302_008,92.79744703959544,123.33453445295888,95.36773027388872,111.81109334342216,120.47344426878159,84.30507057504776,72.8189219469686,7:30 a.m. to 7:59 a.m.,ECONOMY,Start Work Time
B08302_009,90.67965332391934,168.8006542222818,69.92415474378195,117.19964881081614,122.40971981757608,71.58517711657485,94.40571767604581,8:00 a.m. to 8:29 a.m.,ECONOMY,Start Work Time
B08302_010,83.72998806379265,225.1435325469145,57.91017384178277,118.3559321792626,134.1190456654829,67.64092487716512,80.58270099068065,8:30 a.m. to 8:59 a.m.,ECONOMY,Start Work Time
B08302_011,89.71629361835667,209.44601133542017,58.87830451540276,110.96224920482895,123.96475009403008,73.07506822985268,99.6918976152658,9:00 a.m. to 9:59 a.m.,ECONOMY,Start Work Time
B08302_012,97.13464385649196,173.20492347010116,64.0795911703608,97.84243563044251,118.36110401724946,89.64076232729784,112.27031480010025,10:00 a.m. to 10:59 a.m.,ECONOMY,Start Work Time
B08302_013,103.08397220001473,152.36668440127758,69.40960403417691,85.70632615511286,112.82996506598877,101.44274677362397,121.97477799786786,11:00 a.m. to 11:59 a.m.,ECONOMY,Start Work Time
B08302_014,105.40541452233111,121.65174149131069,86.47721191705521,70.68425596483193,97.11302167187618,126.54084082278743,128.61227593911633,12:00 p.m. to 3:59 p.m.,ECONOMY,Start Work Time
B08302_015,108.92474508211416,116.18429465930191,90.98106909414307,73.95502967670063,94.23346224103547,127.65384076761141,118.20891246011642,4:00 p.m. to 11:59 p.m.,ECONOMY,Start Work Time
B08303_002,72.0865317040421,99.86623392034606,140.46784585299017,62.75546851802094,110.35012062437613,150.72512901516063,64.94168779004664,Less than 5 minutes,ECONOMY,Mobility
B08303_003,91.33233032420314,116.36491524867778,93.94281211630965,73.88534199024186,120.9740422613822,144.62825397149396,81.3579935934842,5 to 9 minutes,ECONOMY,Mobility
B08303_004,101.05095261977573,125.02313593003078,86.37584040559379,84.85886812552701,115.26389916335313,118.97026241358806,92.66867817637532,10 to 14 minutes,ECONOMY,Mobility
B08303_005,106.13766908235019,124.80548597616918,89.13098568759305,93.30336862178027,109.12171188267918,98.53498626457487,97.0685372395428,15 to 19 minutes,ECONOMY,Mobility
B08303_006,108.83468259313176,120.65630953632949,91.4468260285082,102.19143370084514,105.90428301200356,82.83119063896969,97.68908772188841,20 to 24 minutes,ECONOMY,Mobility
B08303_007,106.51810277360214,120.3749894631231,98.44671572337649,113.72072080489826,105.79721262424843,66.59913701693368,87.23503762696865,25 to 29 minutes,ECONOMY,Mobility
B08303_008,110.37090872844291,124.65482048267,91.03391339228627,106.13740815541885,97.92628623876887,70.9467126770209,110.64339671052035,30 to 34 minutes,ECONOMY,Mobility
B08303_009,98.74302855362173,125.08992723823502,104.51602908500423,126.01021497400808,102.24396864096674,56.47561056320567,80.26225168038204,35 to 39 minutes,ECONOMY,Mobility
B08303_010,99.50941467950732,133.2578181903735,92.99002934611552,122.72615492406314,101.4772096173226,53.98422742217579,101.6923841708826,40 to 44 minutes,ECONOMY,Mobility
B08303_011,101.059042679873,119.98828742406114,100.13683739880233,121.88855816654014,97.33111975752882,57.6071549718795,98.69628423178435,45 to 59 minutes,ECONOMY,Mobility
B08303_012,99.42744140655377,110.24469974886031,88.58375140708304,120.05412625984518,99.27664275411512,57.40871315619328,123.16704366507179,60 to 89 minutes,ECONOMY,Mobility
B08303_013,104.69242403940314,87.3131075660483,98.92200592480862,113.90185439380338,97.11404335312065,68.81803297408221,113.5900331472949,90 or more minutes,ECONOMY,Mobility
B09019_005,60.40232589474064,225.57283036227997,103.4181747838478,44.26988968345767,112.67857361119964,127.81647719177155,122.93479563568323,Living alone,POP,Household
B09019_008,62.833976808537685,194.6377190647001,91.32868939217882,50.92529951789928,133.6143444817223,126.46123276177723,115.36123366962502,Living alone,POP,Household
B09019_011,85.81926307066831,201.24050866459925,80.67765256532489,97.56652049030605,137.02624661602974,71.88906022123564,77.29510071183925,Same-sex spouse,POP,Household
B09019_015,112.98898272112137,51.63323768856951,90.70213972050955,113.59869930467343,89.51346843622852,104.06489586197914,112.253872783653,Biological child,POP,Children
B09019_016,107.14314799692038,36.87820827206418,118.1231394198416,130.73828618080262,92.49668776488075,91.07688348712655,65.29557486408738,Adopted child,POP,Children
